symbol,entry_date,exit_date,entry_price,exit_price,quantity,pnl_dollars,pnl_percent,holding_days
CETY,2023-05-17 04:00:00+00:00,2023-05-18 04:00:00+00:00,2.35,2.303,1.0,-0.04700000000000015,-2.000000000000006,1
CETY,2023-09-11 04:00:00+00:00,2023-09-11 04:00:00+00:00,1.77,1.8585,1.0,0.08850000000000002,5.000000000000001,0
CETY,2023-11-06 05:00:00+00:00,2023-11-06 05:00:00+00:00,1.71,1.6758,1.0,-0.03420000000000001,-2.0000000000000004,0
CETY,2024-01-04 05:00:00+00:00,2024-01-09 05:00:00+00:00,1.58,1.5484,1.0,-0.03160000000000007,-2.0000000000000044,5
CETY,2024-03-13 04:00:00+00:00,2024-03-13 04:00:00+00:00,0.701,0.73605,1.0,0.035050000000000026,5.0000000000000036,0
CETY,2024-03-15 04:00:00+00:00,2024-03-18 04:00:00+00:00,0.7551,0.792855,1.0,0.03775499999999998,4.999999999999997,3
CETY,2024-03-21 04:00:00+00:00,2024-03-21 04:00:00+00:00,0.795,0.8347500000000001,1.0,0.03975000000000006,5.000000000000008,0
CETY,2024-04-12 04:00:00+00:00,2024-04-15 04:00:00+00:00,1.635,1.6023,1.0,-0.03269999999999995,-1.999999999999997,3
CETY,2024-05-02 04:00:00+00:00,2024-05-03 04:00:00+00:00,1.5,1.47,1.0,-0.030000000000000027,-2.0000000000000018,1
CETY,2024-05-08 04:00:00+00:00,2024-05-09 04:00:00+00:00,1.485,1.4553,1.0,-0.02970000000000006,-2.000000000000004,1
CETY,2024-06-03 04:00:00+00:00,2024-06-05 04:00:00+00:00,1.33,1.3034000000000001,1.0,-0.026599999999999957,-1.9999999999999967,2
CETY,2024-06-18 04:00:00+00:00,2024-06-20 04:00:00+00:00,1.41,1.3818,1.0,-0.028200000000000003,-2.0000000000000004,2
CETY,2024-07-08 04:00:00+00:00,2024-07-17 04:00:00+00:00,1.23,1.2054,1.0,-0.024599999999999955,-1.9999999999999962,9
CETY,2024-09-09 04:00:00+00:00,2024-09-11 04:00:00+00:00,1.1,1.078,1.0,-0.02200000000000002,-2.0000000000000018,2
CETY,2024-11-06 05:00:00+00:00,2024-11-06 05:00:00+00:00,0.84,0.882,1.0,0.04200000000000004,5.000000000000004,0
CETY,2025-02-13 05:00:00+00:00,2025-02-14 05:00:00+00:00,0.479,0.46941999999999995,1.0,-0.009580000000000033,-2.000000000000007,1
CETY,2025-05-01 04:00:00+00:00,2025-05-02 04:00:00+00:00,0.439,0.43022,1.0,-0.00878000000000001,-2.000000000000002,1
CETY,2025-06-11 04:00:00+00:00,2025-06-11 04:00:00+00:00,0.2832,0.277536,1.0,-0.005664000000000002,-2.000000000000001,0
CETY,2025-07-18 04:00:00+00:00,2025-07-21 04:00:00+00:00,0.24,0.252,1.0,0.01200000000000001,5.000000000000004,3
CETY,2025-08-29 04:00:00+00:00,2025-09-09 04:00:00+00:00,0.239,0.25095,1.0,0.011950000000000016,5.000000000000007,11
CETY,2025-09-17 04:00:00+00:00,2025-09-18 04:00:00+00:00,0.2662,0.27951,1.0,0.013309999999999989,4.9999999999999964,1
