symbol,entry_date,exit_date,entry_price,exit_price,quantity,pnl_dollars,pnl_percent,holding_days
ATON,2023-01-27 05:00:00+00:00,2023-01-30 05:00:00+00:00,5.23,5.1254,1.0,-0.10460000000000047,-2.000000000000009,3
ATON,2023-04-19 04:00:00+00:00,2023-04-24 04:00:00+00:00,3.35,3.283,1.0,-0.06700000000000017,-2.000000000000005,5
ATON,2023-05-17 04:00:00+00:00,2023-05-19 04:00:00+00:00,3.21,3.1458,1.0,-0.06420000000000003,-2.000000000000001,2
ATON,2023-06-09 04:00:00+00:00,2023-06-15 04:00:00+00:00,3.88,3.8024,1.0,-0.07759999999999989,-1.9999999999999973,6
ATON,2023-09-08 04:00:00+00:00,2023-09-11 04:00:00+00:00,2.79,2.7342,1.0,-0.05580000000000007,-2.0000000000000027,3
ATON,2023-12-20 05:00:00+00:00,2023-12-21 05:00:00+00:00,1.24,1.2152,1.0,-0.024799999999999933,-1.9999999999999944,1
ATON,2024-05-28 04:00:00+00:00,2024-05-29 04:00:00+00:00,0.251,0.26355,1.0,0.012550000000000006,5.000000000000003,1
ATON,2024-08-21 04:00:00+00:00,2024-08-22 04:00:00+00:00,2.6,2.548,1.0,-0.052000000000000046,-2.0000000000000018,1
ATON,2024-11-26 05:00:00+00:00,2024-11-29 05:00:00+00:00,4.8,4.704,1.0,-0.09600000000000009,-2.0000000000000018,3
ATON,2025-07-18 04:00:00+00:00,2025-07-22 04:00:00+00:00,5.99,5.8702000000000005,1.0,-0.11979999999999968,-1.9999999999999944,4
ATON,2025-08-05 04:00:00+00:00,2025-08-05 04:00:00+00:00,6.18,6.489,1.0,0.30900000000000016,5.000000000000003,0
ATON,2025-08-12 04:00:00+00:00,2025-08-25 04:00:00+00:00,8.835,8.6583,1.0,-0.1767000000000003,-2.000000000000003,13
ATON,2025-09-26 04:00:00+00:00,2025-09-26 04:00:00+00:00,5.67,5.5565999999999995,1.0,-0.11340000000000039,-2.000000000000007,0
