symbol,entry_date,exit_date,entry_price,exit_price,quantity,pnl_dollars,pnl_percent,holding_days
SND,2025-10-23 04:00:00+00:00,2025-10-24 04:00:00+00:00,2.15,2.2575,46511.0,4999.932499999996,4.9999999999999964,1
SND,2025-10-27 04:00:00+00:00,2025-10-30 04:00:00+00:00,2.24,2.1952000000000003,46874.0,-2099.9551999999976,-1.9999999999999976,3
SND,2025-11-11 05:00:00+00:00,2025-11-13 05:00:00+00:00,2.275,2.38875,45230.0,5144.9125,5.000000000000001,2
SND,2025-11-14 05:00:00+00:00,2025-11-17 05:00:00+00:00,2.5,2.625,43217.0,5402.125,5.0,3
SND,2025-11-20 05:00:00+00:00,2025-11-21 05:00:00+00:00,2.82,2.7636,40229.0,-2268.9156000000003,-2.0000000000000004,1
SND,2025-11-24 05:00:00+00:00,2025-11-25 05:00:00+00:00,2.805,2.94525,39635.0,5558.808749999999,4.999999999999999,1
SND,2025-12-01 05:00:00+00:00,2025-12-02 05:00:00+00:00,3.02,3.1710000000000003,38654.0,5836.75400000001,5.000000000000008,1
SND,2025-12-03 05:00:00+00:00,2025-12-04 05:00:00+00:00,3.26,3.423,37599.0,6128.63700000001,5.000000000000008,1
SND,2025-12-05 05:00:00+00:00,2025-12-08 05:00:00+00:00,3.79,4.51,33958.0,24449.75999999999,18.997361477572554,3
