symbol,entry_date,exit_date,entry_price,exit_price,quantity,pnl_dollars,pnl_percent,holding_days
TSLA,2023-01-20 05:00:00+00:00,2023-01-26 05:00:00+00:00,128.63,146.46928571428572,7.0,124.87500000000006,13.868682044846242,6
TSLA,2023-02-21 05:00:00+00:00,2023-03-02 05:00:00+00:00,204.7,186.33785714285713,4.0,-73.44857142857143,-8.970270081652593,9
TSLA,2023-03-30 04:00:00+00:00,2023-04-06 04:00:00+00:00,195.69,182.24625,5.0,-67.21874999999997,-6.869921815115741,7
TSLA,2023-05-11 04:00:00+00:00,2023-05-19 04:00:00+00:00,168.705,181.07357142857143,5.0,61.84285714285707,7.331478870555949,8
TSLA,2023-06-16 04:00:00+00:00,2023-06-26 04:00:00+00:00,259.02,243.08785714285713,3.0,-47.79642857142855,-6.1509315331413985,10
TSLA,2023-08-29 04:00:00+00:00,2023-08-29 04:00:00+00:00,238.55,257.2614285714286,4.0,74.8457142857144,7.843818307033577,0
TSLA,2023-09-06 04:00:00+00:00,2023-09-12 04:00:00+00:00,255.0,276.9271428571429,3.0,65.78142857142865,8.598879551820739,6
TSLA,2023-09-18 04:00:00+00:00,2023-09-22 04:00:00+00:00,271.1,253.55214285714288,3.0,-52.64357142857142,-6.4728355377562306,4
TSLA,2023-10-10 04:00:00+00:00,2023-10-18 04:00:00+00:00,257.91,243.13982142857145,3.0,-44.31053571428572,-5.72687316173416,8
TSLA,2023-11-09 05:00:00+00:00,2023-11-15 05:00:00+00:00,219.785,239.35214285714287,4.0,78.26857142857148,8.902856362874113,6
TSLA,2023-11-17 05:00:00+00:00,2023-12-15 05:00:00+00:00,231.925,253.87714285714287,4.0,87.80857142857144,9.465190409461187,28
TSLA,2023-12-22 05:00:00+00:00,2024-01-03 05:00:00+00:00,256.63,244.075,3.0,-37.66500000000002,-4.89225733546351,12
TSLA,2024-02-21 05:00:00+00:00,2024-03-05 05:00:00+00:00,193.15,181.675,5.0,-57.37499999999997,-5.9409785141082025,13
TSLA,2024-04-01 04:00:00+00:00,2024-04-02 04:00:00+00:00,176.13,165.21964285714284,5.0,-54.55178571428576,-6.194491082074123,1
TSLA,2024-05-02 04:00:00+00:00,2024-05-10 04:00:00+00:00,182.99,167.8325,5.0,-75.7875,-8.283239521285315,8
TSLA,2024-05-23 04:00:00+00:00,2024-06-11 04:00:00+00:00,181.52,171.49410714285716,5.0,-50.12946428571425,-5.523299282251459,19
TSLA,2024-06-17 04:00:00+00:00,2024-06-26 04:00:00+00:00,177.935,191.57642857142855,5.0,68.20714285714274,7.666523489717339,9
TSLA,2024-08-26 04:00:00+00:00,2024-08-28 04:00:00+00:00,218.725,204.33892857142857,4.0,-57.54428571428571,-6.577241480659013,2
TSLA,2024-09-27 04:00:00+00:00,2024-10-02 04:00:00+00:00,257.33,243.74964285714285,3.0,-40.741071428571416,-5.277409218846283,5
TSLA,2024-11-14 05:00:00+00:00,2024-12-05 05:00:00+00:00,327.81,363.8121428571429,3.0,108.00642857142861,10.98262495260757,21
TSLA,2025-01-22 05:00:00+00:00,2025-02-03 05:00:00+00:00,416.72,380.50732142857146,2.0,-72.42535714285714,-8.689930546032963,12
TSLA,2025-03-28 04:00:00+00:00,2025-03-31 04:00:00+00:00,275.575,246.87785714285712,3.0,-86.0914285714286,-10.413550887106183,3
TSLA,2025-04-02 04:00:00+00:00,2025-04-07 04:00:00+00:00,254.64,229.01624999999999,3.0,-76.87125,-10.062735626767202,5
TSLA,2025-05-01 04:00:00+00:00,2025-05-12 04:00:00+00:00,280.23,316.2921428571429,3.0,108.18642857142862,12.86876596265313,11
TSLA,2025-07-16 04:00:00+00:00,2025-08-11 04:00:00+00:00,312.83,338.8171428571428,3.0,77.96142857142848,8.307113402532632,26
TSLA,2025-09-19 04:00:00+00:00,2025-10-01 04:00:00+00:00,421.955,453.2857142857143,2.0,62.66142857142859,7.425131657573508,12
TSLA,2025-10-22 04:00:00+00:00,2025-11-13 05:00:00+00:00,443.445,413.7707142857143,2.0,-59.348571428571404,-6.691762386380656,22
