entry_date,exit_date,entry_price,exit_price,quantity,pnl_dollars,holding_days
2023-01-11 05:00:00+00:00,2023-01-23 05:00:00+00:00,123.24,143.81,1.0,20.570000000000007,12
2023-02-02 05:00:00+00:00,2023-02-09 05:00:00+00:00,188.41,207.33,1.0,18.920000000000016,7
2023-02-09 05:00:00+00:00,2023-06-08 04:00:00+00:00,207.33,234.85,1.0,27.519999999999982,118
2023-06-09 04:00:00+00:00,2023-06-20 04:00:00+00:00,244.42,274.43,1.0,30.01000000000002,11
2023-07-03 04:00:00+00:00,2024-11-08 05:00:00+00:00,279.9,321.175,1.0,41.275000000000034,494
2024-12-02 05:00:00+00:00,2024-12-10 05:00:00+00:00,356.91,401.0,1.0,44.089999999999975,8
2024-12-10 05:00:00+00:00,2024-12-16 05:00:00+00:00,401.0,463.11,1.0,62.110000000000014,6
2024-12-17 05:00:00+00:00,2025-11-19 05:00:00+00:00,479.86,404.07,1.0,-75.79000000000002,337
