symbol,entry_date,exit_date,entry_price,exit_price,quantity,pnl_dollars,pnl_percent,holding_days
WVE,2023-02-03 05:00:00+00:00,2023-02-10 05:00:00+00:00,5.2,4.42,192.0,-149.76000000000005,-15.000000000000005,7
WVE,2023-03-30 04:00:00+00:00,2023-04-25 04:00:00+00:00,4.445,3.815714285714286,224.0,-140.96000000000004,-14.157158926562754,26
WVE,2023-05-16 04:00:00+00:00,2023-05-18 04:00:00+00:00,3.92,3.467142857142857,255.0,-115.47857142857143,-11.552478134110787,2
WVE,2023-06-02 04:00:00+00:00,2023-06-26 04:00:00+00:00,4.175,3.609285714285714,239.0,-135.20571428571432,-13.55004277159966,24
WVE,2023-07-11 04:00:00+00:00,2023-07-25 04:00:00+00:00,4.405,3.935714285714286,227.0,-106.52785714285714,-10.653478190368087,14
WVE,2023-08-01 04:00:00+00:00,2023-08-03 04:00:00+00:00,4.465,4.78,223.0,70.24500000000009,7.054871220604713,2
WVE,2023-08-07 04:00:00+00:00,2023-08-07 04:00:00+00:00,5.03,4.572857142857143,198.0,-90.51428571428575,-9.088327179778474,0
WVE,2023-08-24 04:00:00+00:00,2023-09-06 04:00:00+00:00,4.77,4.298571428571428,209.0,-98.52857142857145,-9.883198562443848,13
WVE,2023-09-13 04:00:00+00:00,2023-09-25 04:00:00+00:00,5.09,5.64,196.0,107.79999999999997,10.805500982318268,12
WVE,2023-09-29 04:00:00+00:00,2023-10-30 04:00:00+00:00,5.8,5.425,172.0,-64.5,-6.4655172413793105,31
WVE,2023-11-06 05:00:00+00:00,2023-11-10 05:00:00+00:00,5.64,5.163571428571429,177.0,-84.32785714285698,-8.447315096251252,4
WVE,2023-12-05 05:00:00+00:00,2023-12-06 05:00:00+00:00,5.93,6.425,168.0,83.16000000000003,8.347386172006747,1
WVE,2024-01-03 05:00:00+00:00,2024-01-08 05:00:00+00:00,5.31,4.684285714285714,188.0,-117.63428571428567,-11.783696529459236,5
WVE,2024-02-21 05:00:00+00:00,2024-02-26 05:00:00+00:00,4.11,4.567857142857143,243.0,111.25928571428568,11.140076468543619,5
WVE,2024-02-28 05:00:00+00:00,2024-03-06 05:00:00+00:00,5.11,5.5964285714285715,195.0,94.85357142857139,9.51915012580374,7
WVE,2024-03-08 05:00:00+00:00,2024-03-18 04:00:00+00:00,6.97,5.984999999999999,143.0,-140.85500000000005,-14.131994261119088,9
WVE,2024-05-02 04:00:00+00:00,2024-05-21 04:00:00+00:00,5.79,6.429285714285714,172.0,109.95714285714286,11.041204046385394,19
WVE,2024-06-13 04:00:00+00:00,2024-06-18 04:00:00+00:00,6.37,5.8342857142857145,156.0,-83.57142857142856,-8.409957389549225,5
WVE,2024-07-09 04:00:00+00:00,2024-07-23 04:00:00+00:00,5.505,6.2214285714285715,181.0,129.67357142857148,13.014142986895036,14
WVE,2024-07-29 04:00:00+00:00,2024-08-05 04:00:00+00:00,6.41,5.762857142857143,156.0,-100.95428571428566,-10.095832404724755,7
WVE,2024-09-10 04:00:00+00:00,2024-09-23 04:00:00+00:00,6.005,5.4035714285714285,166.0,-99.83714285714285,-10.015463304389199,13
WVE,2024-09-25 04:00:00+00:00,2024-09-25 04:00:00+00:00,8.53,9.549285714285714,117.0,119.25642857142866,11.949422207335465,0
WVE,2024-10-17 04:00:00+00:00,2024-11-11 05:00:00+00:00,14.77,16.575,67.0,120.93499999999997,12.220717670954636,25
WVE,2024-12-03 05:00:00+00:00,2024-12-17 05:00:00+00:00,15.015,13.164285714285715,66.0,-122.14714285714288,-12.325769468626612,14
WVE,2025-01-28 05:00:00+00:00,2025-02-10 05:00:00+00:00,12.24,10.985000000000001,81.0,-101.65499999999992,-10.2532679738562,13
WVE,2025-04-24 04:00:00+00:00,2025-05-01 04:00:00+00:00,6.7,8.01142857142857,149.0,195.40285714285702,19.573560767590603,7
WVE,2025-05-05 04:00:00+00:00,2025-05-06 04:00:00+00:00,7.91,6.817142857142858,126.0,-137.69999999999996,-13.816145927397502,1
WVE,2025-06-04 04:00:00+00:00,2025-06-06 04:00:00+00:00,6.58,7.159285714285714,151.0,87.47214285714277,8.803734259661303,2
WVE,2025-06-11 04:00:00+00:00,2025-06-17 04:00:00+00:00,7.41,6.752142857142857,134.0,-88.15285714285716,-8.877964141122037,6
WVE,2025-07-08 04:00:00+00:00,2025-07-10 04:00:00+00:00,7.1,7.773571428571428,140.0,94.29999999999993,9.486921529175044,2
WVE,2025-07-21 04:00:00+00:00,2025-08-15 04:00:00+00:00,8.29,9.154285714285713,120.0,103.71428571428567,10.425641909357225,25
WVE,2025-08-19 04:00:00+00:00,2025-09-03 04:00:00+00:00,9.77,8.752857142857142,102.0,-103.7485714285715,-10.41087878344788,15
WVE,2025-09-30 04:00:00+00:00,2025-10-09 04:00:00+00:00,7.12,7.682857142857143,140.0,78.80000000000004,7.905296950240774,9
WVE,2025-10-30 04:00:00+00:00,2025-11-10 05:00:00+00:00,8.38,7.197857142857144,119.0,-140.67499999999998,-14.106716672349126,11
WVE,2025-11-28 05:00:00+00:00,2025-12-08 05:00:00+00:00,7.63,18.525,131.0,1427.245,142.7916120576671,10
