timestamp,open,high,low,close,volume
2022-11-21 05:00:00+00:00,175.74,176.75,167.55,167.91,1621135.0
2022-11-22 05:00:00+00:00,168.47,170.81,166.19,169.87,1399962.0
2022-11-23 05:00:00+00:00,173.69,183.61,172.52,183.29,1585331.0
2022-11-25 05:00:00+00:00,184.95,184.95,180.69,182.95,648071.0
2022-11-28 05:00:00+00:00,179.36,188.47,179.08,182.93,948286.0
2022-11-29 05:00:00+00:00,184.98,186.37,178.8,180.86,977909.0
2022-11-30 05:00:00+00:00,182.5,194.73,180.66,194.7,1623852.0
2022-12-01 05:00:00+00:00,197.06,198.87,191.83,194.8,1484949.0
2022-12-02 05:00:00+00:00,191.76,196.18,191.14,194.88,942402.0
2022-12-05 05:00:00+00:00,189.31,191.18,180.65,182.5,1151562.0
2022-12-06 05:00:00+00:00,181.23,183.64,175.35,179.84,1248250.0
2022-12-07 05:00:00+00:00,175.0,179.36,172.23,173.96,1020736.0
2022-12-08 05:00:00+00:00,172.02,175.18,169.07,173.4,1480080.0
2022-12-09 05:00:00+00:00,173.61,182.5,173.36,179.02,1420065.0
2022-12-12 05:00:00+00:00,175.83,177.36,167.54,167.75,1334208.0
2022-12-13 05:00:00+00:00,174.92,174.94,156.94,160.98,2262941.0
2022-12-14 05:00:00+00:00,159.59,161.59,155.33,156.825,2444279.0
2022-12-15 05:00:00+00:00,153.38,160.87,153.31,157.78,1603284.0
2022-12-16 05:00:00+00:00,159.57,160.9,150.05,150.175,1621587.0
2022-12-19 05:00:00+00:00,154.005,155.225,145.84,149.875,2135645.0
2022-12-20 05:00:00+00:00,146.055,148.46,137.68,137.765,1917309.0
2022-12-21 05:00:00+00:00,139.39,141.25,135.9,137.48,2674391.0
2022-12-22 05:00:00+00:00,135.89,136.56,122.31,125.35,2782335.0
2022-12-23 05:00:00+00:00,126.445,128.58,121.05,123.13,4999128.0
2022-12-27 05:00:00+00:00,117.56,119.655,108.76,109.075,3985057.0
2022-12-28 05:00:00+00:00,110.34,116.21,108.31,112.72,2799630.0
2022-12-29 05:00:00+00:00,120.36,123.56,117.5,121.82,1829723.0
2022-12-30 05:00:00+00:00,119.955,124.43,119.78,123.22,1155255.0
2023-01-03 05:00:00+00:00,118.28,118.8,104.66,108.045,2387826.0
2023-01-04 05:00:00+00:00,109.15,114.57,107.62,113.66,1347852.0
2023-01-05 05:00:00+00:00,110.24,111.71,107.18,110.36,1129742.0
2023-01-06 05:00:00+00:00,102.9,114.38,101.87,113.01,2237225.0
2023-01-09 05:00:00+00:00,118.98,123.5,117.15,119.79,1832023.0
2023-01-10 05:00:00+00:00,121.1,122.75,114.97,118.85,1447251.0
2023-01-11 05:00:00+00:00,122.09,125.91,120.52,123.24,1499863.0
2023-01-12 05:00:00+00:00,122.62,124.09,117.045,123.52,1289116.0
2023-01-13 05:00:00+00:00,116.6,122.62,115.6,122.42,1590015.0
2023-01-17 05:00:00+00:00,125.74,131.69,125.02,131.48,1759771.0
2023-01-18 05:00:00+00:00,136.59,136.65,127.01,128.75,1927702.0
2023-01-19 05:00:00+00:00,127.3,129.99,124.31,127.14,1337094.0
2023-01-20 05:00:00+00:00,128.63,133.5,127.4,133.44,1035227.0
