timestamp,open,high,low,close,volume,trade_count,vwap
2025-10-14 18:59:00+00:00,5.31,5.31,5.31,5.31,100.0,1.0,5.31
2025-10-27 16:40:00+00:00,5.545,5.545,5.545,5.545,100.0,1.0,5.545
2025-10-28 19:11:00+00:00,5.27,5.27,5.27,5.27,120.0,2.0,5.27
2025-11-07 18:32:00+00:00,5.0,5.0,5.0,5.0,100.0,1.0,5.0
2025-11-12 14:51:00+00:00,5.05,5.05,5.05,5.05,394.0,1.0,5.05
2025-11-21 14:52:00+00:00,4.75,4.75,4.75,4.75,100.0,1.0,4.75
2025-11-26 20:51:00+00:00,5.06,5.06,5.06,5.06,233.0,4.0,5.06
2025-12-01 18:50:00+00:00,5.06,5.06,5.06,5.06,100.0,1.0,5.06
2025-12-04 20:07:00+00:00,4.96,4.96,4.96,4.96,203.0,3.0,4.96
2025-12-05 20:58:00+00:00,5.03,5.03,5.03,5.03,127.0,1.0,5.03
2025-12-11 13:03:00+00:00,9.28,9.31,9.27,9.31,300.0,3.0,9.286667
2025-12-11 13:04:00+00:00,9.26,9.26,9.26,9.26,100.0,1.0,9.26
2025-12-11 13:05:00+00:00,9.31,9.31,9.31,9.31,110.0,2.0,9.31
2025-12-11 13:08:00+00:00,9.37,9.37,9.37,9.37,200.0,2.0,9.37
2025-12-11 13:09:00+00:00,9.43,9.43,9.43,9.43,100.0,1.0,9.43
2025-12-11 13:10:00+00:00,9.46,9.46,9.41,9.41,500.0,5.0,9.446
2025-12-11 13:11:00+00:00,9.61,9.69,9.61,9.69,200.0,2.0,9.65
2025-12-11 13:12:00+00:00,9.75,9.75,9.57,9.57,400.0,4.0,9.695
2025-12-11 13:13:00+00:00,9.45,9.45,9.43,9.43,200.0,2.0,9.44
2025-12-11 13:22:00+00:00,9.46,9.46,9.46,9.46,100.0,1.0,9.46
2025-12-11 13:24:00+00:00,9.63,9.63,9.59,9.59,300.0,3.0,9.613333
2025-12-11 13:26:00+00:00,9.31,9.31,9.31,9.31,100.0,1.0,9.31
2025-12-11 13:32:00+00:00,9.29,9.29,9.29,9.29,100.0,1.0,9.29
2025-12-11 13:34:00+00:00,9.05,9.05,9.05,9.05,100.0,1.0,9.05
2025-12-11 13:43:00+00:00,8.84,8.84,8.84,8.84,130.0,2.0,8.84
2025-12-11 13:51:00+00:00,8.98,8.98,8.98,8.98,100.0,1.0,8.98
2025-12-11 13:53:00+00:00,8.98,8.98,8.98,8.98,100.0,1.0,8.98
2025-12-11 13:56:00+00:00,9.02,9.02,9.02,9.02,100.0,1.0,9.02
2025-12-11 14:04:00+00:00,8.96,9.0,8.96,9.0,200.0,2.0,8.98
2025-12-11 14:05:00+00:00,9.34,9.34,9.34,9.34,100.0,1.0,9.34
2025-12-11 14:06:00+00:00,9.17,9.17,9.17,9.17,100.0,1.0,9.17
2025-12-11 14:07:00+00:00,9.17,9.17,9.16,9.16,200.0,2.0,9.165
2025-12-11 14:10:00+00:00,9.13,9.13,9.13,9.13,100.0,1.0,9.13
2025-12-11 14:23:00+00:00,8.89,8.89,8.89,8.89,100.0,1.0,8.89
2025-12-11 14:26:00+00:00,8.75,8.75,8.55,8.55,200.0,2.0,8.65
2025-12-11 14:28:00+00:00,8.57,8.57,8.57,8.57,100.0,1.0,8.57
2025-12-11 14:30:00+00:00,8.71,8.74,8.495,8.495,711.0,9.0,8.615833
2025-12-11 14:31:00+00:00,8.51,8.725,8.11,8.16,1306.0,15.0,8.503333
2025-12-11 14:32:00+00:00,8.235,8.38,8.235,8.35,700.0,7.0,8.319286
2025-12-11 14:33:00+00:00,8.33,8.54,8.26,8.51,610.0,7.0,8.373333
2025-12-11 14:34:00+00:00,8.25,8.495,8.25,8.43,516.0,6.0,8.41625
2025-12-11 14:35:00+00:00,8.29,8.34,8.29,8.34,200.0,2.0,8.315
2025-12-11 14:36:00+00:00,8.345,8.345,8.345,8.345,101.0,2.0,8.345
2025-12-11 14:37:00+00:00,8.4,8.58,8.4,8.58,300.0,3.0,8.475
2025-12-11 14:38:00+00:00,8.64,8.64,8.58,8.59,434.0,7.0,8.603333
2025-12-11 14:39:00+00:00,8.49,8.49,8.49,8.49,133.0,2.0,8.49
2025-12-11 14:40:00+00:00,8.74,8.74,8.605,8.71,2349.0,25.0,8.668095
2025-12-11 14:41:00+00:00,8.685,8.715,8.53,8.53,802.0,11.0,8.664286
2025-12-11 14:42:00+00:00,8.53,8.62,8.53,8.61,300.0,3.0,8.586667
2025-12-11 14:43:00+00:00,8.77,8.78,8.51,8.59,966.0,12.0,8.6025
2025-12-11 14:44:00+00:00,8.56,8.56,8.49,8.49,579.0,6.0,8.525
2025-12-11 14:45:00+00:00,8.53,8.53,8.53,8.53,113.0,2.0,8.53
2025-12-11 14:46:00+00:00,8.49,8.49,8.49,8.49,332.0,7.0,8.49
2025-12-11 14:47:00+00:00,8.91,9.0,8.91,9.0,444.0,7.0,8.96
2025-12-11 14:48:00+00:00,8.7,8.81,8.56,8.79,1232.0,17.0,8.701111
2025-12-11 14:49:00+00:00,8.47,8.47,8.47,8.47,266.0,5.0,8.47
2025-12-11 14:50:00+00:00,8.55,8.55,7.93,7.93,833.0,9.0,8.45875
2025-12-11 14:55:00+00:00,7.6,7.76,7.6,7.76,558.0,12.0,7.69
2025-12-11 14:56:00+00:00,7.88,8.1,7.84,8.1,996.0,15.0,7.951429
