timestamp,open,high,low,close,volume,trade_count,vwap
2025-10-17 13:30:00+00:00,6.72,6.72,6.7,6.7,2480.0,4.0,6.704167
2025-10-17 14:06:00+00:00,6.83,6.83,6.83,6.83,100.0,1.0,6.83
2025-10-17 14:15:00+00:00,6.755,6.755,6.755,6.755,179.0,2.0,6.755
2025-10-17 14:21:00+00:00,6.63,6.63,6.62,6.62,339.0,4.0,6.626667
2025-10-17 14:24:00+00:00,6.61,6.61,6.61,6.61,200.0,2.0,6.61
2025-10-17 14:25:00+00:00,6.61,6.67,6.61,6.625,300.0,3.0,6.635
2025-10-17 14:33:00+00:00,6.64,6.64,6.64,6.64,125.0,2.0,6.64
2025-10-17 14:38:00+00:00,6.66,6.66,6.66,6.66,100.0,1.0,6.66
2025-10-17 14:40:00+00:00,6.695,6.695,6.695,6.695,100.0,1.0,6.695
2025-10-17 14:48:00+00:00,6.73,6.73,6.73,6.73,100.0,1.0,6.73
2025-10-17 14:51:00+00:00,6.725,6.725,6.725,6.725,100.0,1.0,6.725
2025-10-17 15:01:00+00:00,6.705,6.705,6.705,6.705,100.0,1.0,6.705
2025-10-17 15:07:00+00:00,6.76,6.76,6.76,6.76,100.0,1.0,6.76
2025-10-17 15:10:00+00:00,6.74,6.74,6.74,6.74,100.0,1.0,6.74
2025-10-17 15:14:00+00:00,6.655,6.655,6.655,6.655,185.0,2.0,6.655
2025-10-17 15:34:00+00:00,6.7,6.7,6.7,6.7,215.0,3.0,6.7
2025-10-17 15:35:00+00:00,6.65,6.65,6.63,6.63,306.0,4.0,6.636667
2025-10-17 15:38:00+00:00,6.61,6.61,6.61,6.61,107.0,2.0,6.61
2025-10-17 16:00:00+00:00,6.695,6.71,6.695,6.71,385.0,5.0,6.705
2025-10-17 16:02:00+00:00,6.73,6.73,6.73,6.73,200.0,2.0,6.73
2025-10-17 16:03:00+00:00,6.75,6.75,6.75,6.75,100.0,1.0,6.75
2025-10-17 16:12:00+00:00,6.78,6.78,6.78,6.78,100.0,1.0,6.78
2025-10-17 16:14:00+00:00,6.78,6.78,6.78,6.78,100.0,1.0,6.78
2025-10-17 16:18:00+00:00,6.78,6.78,6.78,6.78,100.0,1.0,6.78
2025-10-17 16:25:00+00:00,6.83,6.83,6.83,6.83,100.0,1.0,6.83
2025-10-17 16:26:00+00:00,6.77,6.77,6.77,6.77,185.0,2.0,6.77
2025-10-17 16:32:00+00:00,6.79,6.79,6.79,6.79,100.0,1.0,6.79
2025-10-17 16:40:00+00:00,6.765,6.765,6.765,6.765,274.0,6.0,6.765
2025-10-17 16:43:00+00:00,6.765,6.765,6.765,6.765,237.0,4.0,6.765
2025-10-17 16:46:00+00:00,6.79,6.79,6.79,6.79,245.0,5.0,6.79
2025-10-17 16:49:00+00:00,6.76,6.78,6.76,6.78,259.0,4.0,6.77
2025-10-17 16:52:00+00:00,6.74,6.74,6.74,6.74,168.0,2.0,6.74
2025-10-17 16:55:00+00:00,6.71,6.71,6.71,6.71,253.0,5.0,6.71
2025-10-17 17:01:00+00:00,6.755,6.755,6.755,6.755,100.0,1.0,6.755
2025-10-17 17:06:00+00:00,6.74,6.74,6.74,6.74,125.0,2.0,6.74
2025-10-17 17:08:00+00:00,6.72,6.72,6.72,6.72,280.0,4.0,6.72
2025-10-17 17:12:00+00:00,6.735,6.735,6.735,6.735,100.0,1.0,6.735
2025-10-17 17:14:00+00:00,6.72,6.72,6.72,6.72,100.0,1.0,6.72
2025-10-17 17:22:00+00:00,6.73,6.73,6.73,6.73,179.0,4.0,6.73
2025-10-17 17:35:00+00:00,6.76,6.76,6.76,6.76,100.0,1.0,6.76
2025-10-17 17:39:00+00:00,6.76,6.76,6.76,6.76,100.0,1.0,6.76
2025-10-17 17:47:00+00:00,6.73,6.73,6.715,6.715,335.0,5.0,6.7225
2025-10-17 18:07:00+00:00,6.8,6.82,6.8,6.82,570.0,7.0,6.808
2025-10-17 18:09:00+00:00,6.84,6.84,6.83,6.83,242.0,3.0,6.835
2025-10-17 18:10:00+00:00,6.83,6.83,6.83,6.83,100.0,1.0,6.83
2025-10-17 18:12:00+00:00,6.84,6.84,6.84,6.84,300.0,4.0,6.84
2025-10-17 18:13:00+00:00,6.845,6.845,6.845,6.845,588.0,4.0,6.845
2025-10-17 18:14:00+00:00,6.84,6.84,6.84,6.84,100.0,1.0,6.84
2025-10-17 18:15:00+00:00,6.83,6.83,6.83,6.83,195.0,2.0,6.83
2025-10-17 18:21:00+00:00,6.83,6.83,6.83,6.83,100.0,1.0,6.83
2025-10-17 18:29:00+00:00,6.76,6.76,6.76,6.76,317.0,5.0,6.76
2025-10-17 18:33:00+00:00,6.77,6.77,6.75,6.75,260.0,4.0,6.76
2025-10-17 18:46:00+00:00,6.76,6.76,6.76,6.76,241.0,3.0,6.76
2025-10-17 18:56:00+00:00,6.745,6.745,6.745,6.745,170.0,2.0,6.745
2025-10-17 19:03:00+00:00,6.76,6.76,6.76,6.76,156.0,2.0,6.76
2025-10-17 19:10:00+00:00,6.76,6.77,6.76,6.77,480.0,6.0,6.764167
2025-10-17 19:11:00+00:00,6.775,6.775,6.775,6.775,100.0,1.0,6.775
2025-10-17 19:20:00+00:00,6.77,6.77,6.77,6.77,189.0,3.0,6.77
2025-10-17 19:26:00+00:00,6.775,6.775,6.775,6.775,296.0,2.0,6.775
2025-10-17 19:33:00+00:00,6.725,6.725,6.725,6.725,157.0,5.0,6.725
2025-10-17 19:35:00+00:00,6.74,6.74,6.74,6.74,100.0,1.0,6.74
2025-10-17 19:37:00+00:00,6.735,6.735,6.735,6.735,202.0,2.0,6.735
2025-10-17 19:38:00+00:00,6.76,6.76,6.76,6.76,206.0,2.0,6.76
2025-10-17 19:39:00+00:00,6.715,6.715,6.715,6.715,101.0,2.0,6.715
2025-10-17 19:41:00+00:00,6.71,6.71,6.71,6.71,169.0,1.0,6.71
2025-10-17 19:48:00+00:00,6.67,6.685,6.67,6.685,649.0,12.0,6.67875
2025-10-17 19:49:00+00:00,6.68,6.68,6.68,6.68,100.0,1.0,6.68
2025-10-17 19:51:00+00:00,6.675,6.675,6.675,6.675,246.0,4.0,6.675
2025-10-17 19:54:00+00:00,6.665,6.665,6.665,6.665,300.0,4.0,6.665
2025-10-17 19:55:00+00:00,6.68,6.68,6.68,6.68,266.0,4.0,6.68
2025-10-17 19:56:00+00:00,6.675,6.675,6.67,6.67,249.0,4.0,6.6725
2025-10-17 19:57:00+00:00,6.645,6.645,6.645,6.645,663.0,8.0,6.645
2025-10-17 19:58:00+00:00,6.63,6.63,6.62,6.625,1173.0,14.0,6.626314
2025-10-17 19:59:00+00:00,6.62,6.62,6.605,6.605,1754.0,18.0,6.610265
2025-10-20 13:41:00+00:00,7.02,7.035,7.02,7.035,300.0,3.0,7.025
2025-10-20 13:48:00+00:00,7.01,7.01,7.01,7.01,200.0,2.0,7.01
2025-10-20 13:57:00+00:00,7.03,7.03,7.03,7.03,115.0,1.0,7.03
2025-10-20 14:05:00+00:00,7.01,7.01,7.01,7.01,113.0,3.0,7.01
2025-10-20 14:12:00+00:00,7.05,7.07,7.05,7.07,400.0,4.0,7.06
2025-10-20 14:15:00+00:00,7.1,7.1,7.1,7.1,100.0,1.0,7.1
2025-10-20 14:20:00+00:00,7.12,7.12,7.12,7.12,100.0,1.0,7.12
2025-10-20 14:34:00+00:00,7.12,7.12,7.12,7.12,212.0,5.0,7.12
2025-10-20 14:35:00+00:00,7.15,7.15,7.15,7.15,100.0,1.0,7.15
2025-10-20 14:39:00+00:00,7.225,7.25,7.21,7.25,1709.0,16.0,7.221965
2025-10-20 14:40:00+00:00,7.31,7.31,7.31,7.31,100.0,1.0,7.31
2025-10-20 14:42:00+00:00,7.31,7.31,7.31,7.31,261.0,5.0,7.31
2025-10-20 14:43:00+00:00,7.34,7.34,7.34,7.34,100.0,1.0,7.34
2025-10-20 14:44:00+00:00,7.33,7.33,7.33,7.33,600.0,6.0,7.33
2025-10-20 14:50:00+00:00,7.32,7.32,7.32,7.32,200.0,1.0,7.32
2025-10-20 14:57:00+00:00,7.33,7.33,7.33,7.33,500.0,3.0,7.33
2025-10-20 14:59:00+00:00,7.27,7.27,7.27,7.27,107.0,2.0,7.27
2025-10-20 15:03:00+00:00,7.23,7.23,7.23,7.23,133.0,2.0,7.23
2025-10-20 15:04:00+00:00,7.18,7.185,7.18,7.185,601.0,3.0,7.1825
2025-10-20 15:05:00+00:00,7.19,7.2,7.19,7.2,732.0,9.0,7.191667
2025-10-20 15:11:00+00:00,7.2,7.2,7.2,7.2,300.0,2.0,7.2
2025-10-20 15:23:00+00:00,7.13,7.13,7.13,7.13,102.0,3.0,7.13
2025-10-20 15:27:00+00:00,7.155,7.155,7.155,7.155,300.0,1.0,7.155
2025-10-20 15:31:00+00:00,7.165,7.165,7.165,7.165,300.0,1.0,7.165
2025-10-20 15:37:00+00:00,7.175,7.175,7.175,7.175,300.0,1.0,7.175
2025-10-20 15:41:00+00:00,7.18,7.18,7.18,7.18,615.0,7.0,7.18
2025-10-20 15:43:00+00:00,7.19,7.19,7.19,7.19,400.0,1.0,7.19
2025-10-20 15:48:00+00:00,7.2,7.21,7.2,7.21,400.0,4.0,7.20625
2025-10-20 15:49:00+00:00,7.23,7.23,7.225,7.225,500.0,3.0,7.228
2025-10-20 15:50:00+00:00,7.26,7.26,7.26,7.26,800.0,2.0,7.26
2025-10-20 15:54:00+00:00,7.22,7.22,7.215,7.215,400.0,4.0,7.21875
2025-10-20 15:58:00+00:00,7.235,7.235,7.235,7.235,200.0,1.0,7.235
2025-10-20 16:05:00+00:00,7.24,7.24,7.24,7.24,327.0,1.0,7.24
2025-10-20 16:07:00+00:00,7.25,7.26,7.25,7.26,255.0,4.0,7.255
2025-10-20 16:08:00+00:00,7.295,7.295,7.295,7.295,421.0,3.0,7.295
2025-10-20 16:09:00+00:00,7.29,7.29,7.29,7.29,200.0,1.0,7.29
2025-10-20 16:13:00+00:00,7.29,7.31,7.29,7.31,602.0,4.0,7.301667
2025-10-20 16:16:00+00:00,7.32,7.32,7.32,7.32,400.0,4.0,7.32
2025-10-20 16:17:00+00:00,7.31,7.31,7.275,7.275,1100.0,9.0,7.290383
2025-10-20 16:18:00+00:00,7.29,7.29,7.29,7.29,100.0,1.0,7.29
2025-10-20 16:23:00+00:00,7.34,7.34,7.34,7.34,200.0,2.0,7.34
2025-10-20 16:26:00+00:00,7.43,7.43,7.43,7.43,208.0,2.0,7.43
2025-10-20 16:31:00+00:00,7.47,7.47,7.47,7.47,200.0,1.0,7.47
2025-10-20 16:38:00+00:00,7.44,7.44,7.44,7.44,451.0,5.0,7.44
2025-10-20 16:44:00+00:00,7.42,7.42,7.42,7.42,146.0,2.0,7.42
2025-10-20 16:47:00+00:00,7.39,7.39,7.39,7.39,160.0,2.0,7.39
2025-10-20 16:54:00+00:00,7.36,7.36,7.36,7.36,300.0,4.0,7.36
2025-10-20 16:55:00+00:00,7.37,7.38,7.37,7.38,500.0,5.0,7.378
2025-10-20 16:56:00+00:00,7.4,7.4,7.4,7.4,100.0,1.0,7.4
2025-10-20 17:00:00+00:00,7.41,7.41,7.41,7.41,100.0,1.0,7.41
2025-10-20 17:01:00+00:00,7.42,7.42,7.42,7.42,200.0,2.0,7.42
2025-10-20 17:03:00+00:00,7.43,7.43,7.43,7.43,116.0,3.0,7.43
2025-10-20 17:09:00+00:00,7.43,7.43,7.43,7.43,200.0,2.0,7.43
2025-10-20 17:18:00+00:00,7.38,7.38,7.38,7.38,309.0,3.0,7.38
2025-10-20 17:20:00+00:00,7.49,7.57,7.49,7.57,1193.0,12.0,7.515251
2025-10-20 17:22:00+00:00,7.55,7.55,7.55,7.55,300.0,1.0,7.55
2025-10-20 17:25:00+00:00,7.505,7.505,7.505,7.505,305.0,2.0,7.505
2025-10-20 17:28:00+00:00,7.54,7.59,7.54,7.59,800.0,8.0,7.565
2025-10-20 17:31:00+00:00,7.58,7.58,7.58,7.58,200.0,2.0,7.58
2025-10-20 17:41:00+00:00,7.54,7.54,7.53,7.53,600.0,4.0,7.533333
2025-10-20 17:47:00+00:00,7.5,7.5,7.5,7.5,100.0,1.0,7.5
2025-10-20 17:48:00+00:00,7.51,7.51,7.5,7.5,700.0,6.0,7.501429
2025-10-20 17:50:00+00:00,7.48,7.48,7.48,7.48,200.0,3.0,7.48
2025-10-20 17:57:00+00:00,7.44,7.44,7.44,7.44,176.0,2.0,7.44
2025-10-20 18:04:00+00:00,7.42,7.43,7.42,7.43,300.0,3.0,7.423333
2025-10-20 18:05:00+00:00,7.46,7.46,7.46,7.46,100.0,1.0,7.46
2025-10-20 18:06:00+00:00,7.46,7.46,7.46,7.46,118.0,2.0,7.46
2025-10-20 18:14:00+00:00,7.48,7.48,7.48,7.48,400.0,3.0,7.48
