symbol,entry_date,exit_date,entry_price,exit_price,quantity,pnl_dollars,pnl_percent,holding_days
DJT,2023-02-03 05:00:00+00:00,2023-02-07 05:00:00+00:00,16.51,15.834642857142859,60.0,-40.52142857142858,-4.090594444925154,4
DJT,2023-04-04 04:00:00+00:00,2023-04-04 04:00:00+00:00,14.82,13.981428571428571,67.0,-56.18428571428574,-5.658376711008292,0
DJT,2023-04-21 04:00:00+00:00,2023-04-26 04:00:00+00:00,13.13,13.106428571428571,76.0,-1.7914285714286393,-0.1795234468501863,5
DJT,2023-04-28 04:00:00+00:00,2023-05-09 04:00:00+00:00,13.1,13.041428571428572,76.0,-4.451428571428515,-0.44711014176662467,11
DJT,2023-05-12 04:00:00+00:00,2023-05-18 04:00:00+00:00,13.53,13.263571428571428,73.0,-19.449285714285715,-1.9691690423397745,6
DJT,2023-06-01 04:00:00+00:00,2023-06-20 04:00:00+00:00,12.86,12.758214285714287,77.0,-7.837499999999887,-0.7914907798266937,19
DJT,2023-07-06 04:00:00+00:00,2023-07-06 04:00:00+00:00,14.46,14.160357142857144,69.0,-20.67535714285711,-2.0722189290653987,0
DJT,2023-07-24 04:00:00+00:00,2023-07-24 04:00:00+00:00,18.92,17.47321428571429,52.0,-75.2328571428571,-7.646858954998486,0
DJT,2023-08-15 04:00:00+00:00,2023-08-16 04:00:00+00:00,17.17,16.56214285714286,58.0,-35.25571428571425,-3.5402279723770658,1
DJT,2023-09-05 04:00:00+00:00,2023-09-05 04:00:00+00:00,15.92,16.092142857142857,62.0,10.672857142857143,1.0812993539124194,0
DJT,2023-09-27 04:00:00+00:00,2023-09-28 04:00:00+00:00,16.62,16.367857142857144,60.0,-15.128571428571433,-1.517105036960633,1
DJT,2023-11-07 05:00:00+00:00,2023-11-07 05:00:00+00:00,15.12,15.197857142857142,66.0,5.138571428571428,0.514928193499622,0
DJT,2023-11-09 05:00:00+00:00,2023-11-09 05:00:00+00:00,15.42,15.161428571428571,64.0,-16.54857142857145,-1.676857513433391,0
DJT,2023-11-15 05:00:00+00:00,2023-11-16 05:00:00+00:00,15.8,16.480714285714285,63.0,42.884999999999906,4.308318264014457,1
DJT,2023-11-22 05:00:00+00:00,2023-11-22 05:00:00+00:00,17.46,16.916785714285716,57.0,-30.963214285714244,-3.1111929307805553,0
DJT,2023-11-27 05:00:00+00:00,2023-11-29 05:00:00+00:00,18.335,17.68107142857143,54.0,-35.312142857142916,-3.566558884257281,2
DJT,2023-12-14 05:00:00+00:00,2023-12-18 05:00:00+00:00,18.14,17.75857142857143,55.0,-20.978571428571442,-2.1026933375334713,4
DJT,2023-12-27 05:00:00+00:00,2023-12-28 05:00:00+00:00,18.02,17.677142857142858,55.0,-18.85714285714279,-1.9026478515934606,1
DJT,2024-01-17 05:00:00+00:00,2024-01-17 05:00:00+00:00,20.6,22.065357142857142,48.0,70.33714285714274,7.113384188626895,0
DJT,2024-01-23 05:00:00+00:00,2024-01-23 05:00:00+00:00,48.43,45.24214285714286,20.0,-63.75714285714281,-6.58240169906492,0
DJT,2024-02-09 05:00:00+00:00,2024-02-13 05:00:00+00:00,48.08,43.481785714285714,20.0,-91.9642857142857,-9.563673639172805,4
DJT,2024-02-16 05:00:00+00:00,2024-02-21 05:00:00+00:00,49.25,44.6425,20.0,-92.15000000000003,-9.355329949238582,5
DJT,2024-03-26 04:00:00+00:00,2024-03-26 04:00:00+00:00,70.825,65.80035714285715,14.0,-70.34499999999991,-7.094448086329475,0
DJT,2024-04-26 04:00:00+00:00,2024-04-29 04:00:00+00:00,39.9,41.77285714285714,25.0,46.82142857142857,4.6938775510204085,3
DJT,2024-05-01 04:00:00+00:00,2024-05-01 04:00:00+00:00,52.52,47.62214285714286,19.0,-93.05928571428569,-9.325699053421822,0
DJT,2024-05-10 04:00:00+00:00,2024-05-17 04:00:00+00:00,53.98,49.55607142857143,18.0,-79.63071428571423,-8.195495686232992,7
DJT,2024-07-16 04:00:00+00:00,2024-07-22 04:00:00+00:00,36.37,34.128214285714286,27.0,-60.52821428571421,-6.163832043678063,6
DJT,2024-10-08 04:00:00+00:00,2024-10-08 04:00:00+00:00,19.06,20.19142857142857,52.0,58.83428571428573,5.936141508019789,0
DJT,2024-10-11 04:00:00+00:00,2024-10-14 04:00:00+00:00,26.025,27.701071428571428,38.0,63.690714285714314,6.4402360367778275,3
DJT,2024-10-23 04:00:00+00:00,2024-10-25 04:00:00+00:00,35.48,35.48,28.0,0.0,0.0,2
DJT,2024-10-29 04:00:00+00:00,2024-10-29 04:00:00+00:00,53.675,49.65928571428571,18.0,-72.2828571428572,-7.481535697651213,0
DJT,2024-12-04 05:00:00+00:00,2024-12-10 05:00:00+00:00,33.85,33.370000000000005,29.0,-13.91999999999991,-1.4180206794682328,6
DJT,2024-12-12 05:00:00+00:00,2024-12-18 05:00:00+00:00,36.055,36.41892857142857,27.0,9.826071428571481,1.0093706044337079,6
DJT,2025-01-14 05:00:00+00:00,2025-01-21 05:00:00+00:00,39.375,38.364642857142854,25.0,-25.25892857142864,-2.56598639455783,7
DJT,2025-03-26 04:00:00+00:00,2025-03-26 04:00:00+00:00,22.25,20.93392857142857,44.0,-57.907142857142915,-5.914927768860359,0
DJT,2025-04-21 04:00:00+00:00,2025-04-23 04:00:00+00:00,21.21,24.805714285714284,47.0,168.99857142857132,16.952919781774085,2
